Age,EdLevel,Employment,WorkExp,YearsCode,DevType,OrgSize,ICorPM,RemoteWork,Industry,Country,CompTotal,LanguageHaveWorkedWith,DatabaseChoice,DatabaseHaveWorkedWith,ConvertedCompYearly,ConvertedCompYearly_w
45-54 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Independent contractor, freelancer, or self-employed",33.0,35.0,Data scientist,nan,nan,nan,Software Development,Argentina,84000000.0,Bash/Shell (all shells);HTML/CSS;R;SQL,No,nan,71657.0,71657.0
25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,9.0,12.0,Data scientist,"10,000 or more employees",People manager,"Hybrid (some remote, leans heavy to in-person)",Software Development,United States of America,330000.0,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;Python;R;SQL;TypeScript,Yes,Databricks SQL;PostgreSQL;Snowflake;SQLite,330000.0,330000.0
45-54 years old,Some college/university study without earning a degree,Employed,15.0,38.0,Data or business analyst,20 to 99 employees,People manager,Remote,Software Development,Italy,43000.0,Assembly;Bash/Shell (all shells);Go;HTML/CSS;JavaScript;PHP;PowerShell;Python;Rust,No,nan,49886.0,49886.0
35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,20.0,9.0,Data or business analyst,100 to 499 employees,Individual contributor,Remote,"Internet, Telecomm or Information Services",United States of America,160000.0,R;SQL,Yes,BigQuery;Databricks SQL;Snowflake,160000.0,160000.0
45-54 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,20.0,24.0,Data or business analyst,"5,000 to 9,999 employees",Individual contributor,"Your choice (very flexible, you can come in when you want or just as needed)",Energy,United States of America,200000.0,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;PHP;PowerShell;Python;R;SQL,Yes,BigQuery;Dynamodb;MariaDB;Microsoft Access;Microsoft SQL Server;MongoDB;MySQL;SQLite,200000.0,200000.0
25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,10.0,10.0,Data engineer,"Just me - I am a freelancer, sole proprietor, etc.",Individual contributor,Remote,Fintech,United States of America,250000.0,nan,nan,nan,250000.0,250000.0
35-44 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Employed,13.0,20.0,Data engineer,Less than 20 employees,Individual contributor,Remote,Software Development,Germany,82000.0,Python;SQL,Yes,Databricks SQL;DuckDB;MariaDB;MySQL;PostgreSQL;Redis;Clickhouse;Amazon Redshift,95132.0,95132.0
35-44 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Employed,15.0,19.0,Data scientist,20 to 99 employees,Individual contributor,"Hybrid (some in-person, leans heavy to flexibility)",Government,Luxembourg,120000.0,Bash/Shell (all shells);HTML/CSS;R,No,nan,139218.0,139218.0
55-64 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,25.0,29.0,Data engineer,"10,000 or more employees",Individual contributor,"Hybrid (some in-person, leans heavy to flexibility)","Internet, Telecomm or Information Services",Switzerland,120000.0,Bash/Shell (all shells);Perl;PHP;Python;SQL;TypeScript,Yes,MariaDB;Microsoft SQL Server;PostgreSQL;Redis;SQLite;Amazon Redshift,148791.0,148791.0
45-54 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Employed,30.0,42.0,Data scientist,20 to 99 employees,People manager,"Hybrid (some remote, leans heavy to in-person)",Retail and Consumer Services,Germany,180000.0,Bash/Shell (all shells);C;HTML/CSS;PHP;Python;R;SQL,Yes,BigQuery;DuckDB;Dynamodb;MariaDB;PostgreSQL;Redis;SQLite,208826.0,208826.0
45-54 years old,"Associate degree (A.A., A.S., etc.)","Independent contractor, freelancer, or self-employed",30.0,30.0,Data engineer,nan,nan,nan,Healthcare,United States of America,300000.0,HTML/CSS;JavaScript;Kotlin;PowerShell;Python;SQL,Yes,Cosmos DB;MariaDB;Microsoft Access;Microsoft SQL Server,300000.0,300000.0
25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,3.0,10.0,Data engineer,"5,000 to 9,999 employees",Individual contributor,Remote,Healthcare,Chile,2000000.0,Bash/Shell (all shells);C;C++;Python;SQL,Yes,Databricks SQL;Dynamodb;PostgreSQL;Snowflake,2121.0,2121.0
35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Not employed,10.0,10.0,Data engineer,Less than 20 employees,Individual contributor,"Hybrid (some in-person, leans heavy to flexibility)",Healthcare,United States of America,210000.0,Bash/Shell (all shells);C#;Python;SQL,Yes,BigQuery;Databricks SQL;DuckDB;Microsoft SQL Server;MySQL;PostgreSQL;Snowflake,210000.0,210000.0
25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,2.0,9.0,Data scientist,"10,000 or more employees",Individual contributor,"Your choice (very flexible, you can come in when you want or just as needed)",Government,Italy,28000.0,Python;SQL,Yes,IBM DB2;Oracle,32484.0,32484.0
45-54 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Independent contractor, freelancer, or self-employed",24.0,27.0,Data engineer,100 to 499 employees,Individual contributor,Remote,Software Development,Hungary,90000.0,Bash/Shell (all shells);Go;Java;Kotlin;Python;SQL,Yes,MySQL;PostgreSQL;Redis,90000.0,90000.0
35-44 years old,Some college/university study without earning a degree,Employed,15.0,25.0,Database administrator or engineer,100 to 499 employees,People manager,In-person,Insurance,United Kingdom of Great Britain and Northern Ireland,55000.0,Bash/Shell (all shells);C#;PowerShell;Python;SQL;VBA,Yes,Microsoft SQL Server,74878.0,74878.0
55-64 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Employed,30.0,43.0,Database administrator or engineer,500 to 999 employees,Individual contributor,"Your choice (very flexible, you can come in when you want or just as needed)",Government,Canada,128000.0,C#;HTML/CSS;JavaScript;PHP;PowerShell;SQL,Yes,Microsoft SQL Server;MongoDB;MySQL;PostgreSQL,93387.0,93387.0
45-54 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,17.0,35.0,Data engineer,500 to 999 employees,Individual contributor,"Hybrid (some remote, leans heavy to in-person)","Internet, Telecomm or Information Services",Bulgaria,65000.0,C;C++;Python,Yes,MySQL;PostgreSQL,38549.0,38549.0
35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Independent contractor, freelancer, or self-employed",13.0,17.0,Database administrator or engineer,"Just me - I am a freelancer, sole proprietor, etc.",Individual contributor,"Your choice (very flexible, you can come in when you want or just as needed)",Banking/Financial Services,Sweden,600000.0,Bash/Shell (all shells);C#;Go;HTML/CSS;JavaScript;SQL;TypeScript;Visual Basic (.Net),Yes,Microsoft SQL Server;PostgreSQL;SQLite,62893.0,62893.0
45-54 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Employed,30.0,30.0,Data engineer,"1,000 to 4,999 employees",Individual contributor,"Hybrid (some in-person, leans heavy to flexibility)",Retail and Consumer Services,Canada,115000.0,C#;PowerShell;Python;SQL;Visual Basic (.Net),Yes,Microsoft Access;Microsoft SQL Server;MySQL;Oracle,83902.0,83902.0
25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,6.0,10.0,Data or business analyst,"10,000 or more employees",Individual contributor,"Hybrid (some in-person, leans heavy to flexibility)",Insurance,United Kingdom of Great Britain and Northern Ireland,75000.0,Bash/Shell (all shells);HTML/CSS;JavaScript;R;SQL,Yes,DuckDB;Oracle;PostgreSQL;Snowflake;SQLite,102106.0,102106.0
25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,6.0,11.0,Data scientist,"1,000 to 4,999 employees",Individual contributor,"Hybrid (some remote, leans heavy to in-person)",Higher Education,United States of America,103000.0,Bash/Shell (all shells);HTML/CSS;JavaScript;PowerShell;Python;R;SQL,Yes,DuckDB;Microsoft Access;Microsoft SQL Server;MySQL;PostgreSQL;SQLite,103000.0,103000.0
35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,14.0,28.0,Data scientist,500 to 999 employees,Individual contributor,Remote,"Internet, Telecomm or Information Services",Italy,48000.0,HTML/CSS;JavaScript;Python;R;Scala;SQL,Yes,Dynamodb;MySQL;PostgreSQL;Snowflake;SQLite;Amazon Redshift,55687.0,55687.0
45-54 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,15.0,15.0,Data scientist,"1,000 to 4,999 employees",Individual contributor,"Hybrid (some in-person, leans heavy to flexibility)",Healthcare,United States of America,100000.0,COBOL;R;SQL,Yes,Oracle;PostgreSQL;Snowflake,100000.0,100000.0
45-54 years old,Some college/university study without earning a degree,Employed,20.0,20.0,Data or business analyst,"1,000 to 4,999 employees",Individual contributor,Remote,Retail and Consumer Services,United Kingdom of Great Britain and Northern Ireland,48000.0,Bash/Shell (all shells);HTML/CSS;Python;R;SQL,Yes,Microsoft SQL Server;PostgreSQL;Snowflake,65348.0,65348.0
45-54 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,29.0,34.0,Database administrator or engineer,"1,000 to 4,999 employees",People manager,Remote,Software Development,United States of America,280000.0,Bash/Shell (all shells);C++;Groovy;HTML/CSS;Java;JavaScript;Python;SQL,Yes,nan,280000.0,280000.0
45-54 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,30.0,25.0,Data engineer,"1,000 to 4,999 employees",Individual contributor,"Hybrid (some in-person, leans heavy to flexibility)","Internet, Telecomm or Information Services",United States of America,150000.0,Bash/Shell (all shells);COBOL;HTML/CSS;Perl;Python;SQL,Yes,BigQuery;Databricks SQL;Microsoft SQL Server;Snowflake,150000.0,150000.0
45-54 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,25.0,30.0,Data engineer,"5,000 to 9,999 employees",Individual contributor,"Your choice (very flexible, you can come in when you want or just as needed)",Retail and Consumer Services,Germany,120000.0,Bash/Shell (all shells);C;HTML/CSS;Python;Scala;SQL,Yes,BigQuery;Databricks SQL;MariaDB;PostgreSQL;Amazon Redshift,139218.0,139218.0
25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,6.0,12.0,Data or business analyst,20 to 99 employees,Individual contributor,In-person,Healthcare,United States of America,47840.0,C;HTML/CSS;Python;SQL,Yes,Microsoft SQL Server,47840.0,47840.0
45-54 years old,Some college/university study without earning a degree,Employed,34.0,15.0,Database administrator or engineer,"5,000 to 9,999 employees",Individual contributor,"Hybrid (some in-person, leans heavy to flexibility)",Government,Canada,120000.0,Bash/Shell (all shells);PowerShell;VBA,Yes,Microsoft SQL Server;Oracle,87550.0,87550.0
45-54 years old,"Associate degree (A.A., A.S., etc.)",Employed,30.0,30.0,Data engineer,"10,000 or more employees",Individual contributor,Remote,Software Development,Brazil,278000.0,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;Python;SQL,Yes,BigQuery;Databricks SQL;MariaDB;MySQL;Oracle;PostgreSQL;SQLite,50606.0,50606.0
18-24 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,2.0,4.0,Data scientist,"1,000 to 4,999 employees",Individual contributor,In-person,Higher Education,United States of America,70000.0,Bash/Shell (all shells);HTML/CSS;Python;R;SQL,Yes,DuckDB;Oracle,70000.0,70000.0
25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,8.0,10.0,Data or business analyst,"10,000 or more employees",Individual contributor,In-person,"Transportation, or Supply Chain",Mozambique,600000.0,HTML/CSS;PHP;Python;SQL,Yes,MariaDB;Microsoft SQL Server;MySQL,9381.0,9381.0
45-54 years old,Some college/university study without earning a degree,Employed,26.0,28.0,Data engineer,Less than 20 employees,Individual contributor,Remote,Software Development,United States of America,210000.0,Bash/Shell (all shells);Go;Groovy;HTML/CSS;PowerShell;Python;Scala;SQL;TypeScript,Yes,DuckDB;Microsoft SQL Server;PostgreSQL;Redis;Snowflake,210000.0,210000.0
55-64 years old,"Associate degree (A.A., A.S., etc.)",Employed,28.0,44.0,Data engineer,100 to 499 employees,Individual contributor,Remote,"Internet, Telecomm or Information Services",Spain,40050.0,Bash/Shell (all shells);PowerShell;Python;SQL;VBA,Yes,BigQuery;Microsoft Access;MySQL;Snowflake,46464.0,46464.0
35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,25.0,10.0,Data scientist,Less than 20 employees,People manager,"Your choice (very flexible, you can come in when you want or just as needed)",Energy,Italy,26000.0,C;C#;C++;HTML/CSS;JavaScript;MATLAB;PHP;PowerShell;Python;Rust;SQL;VBA,Yes,MariaDB;Microsoft Access;Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL,30164.0,30164.0
25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,8.0,9.0,Data scientist,"10,000 or more employees",Individual contributor,"Hybrid (some remote, leans heavy to in-person)",Banking/Financial Services,France,60000.0,Bash/Shell (all shells);HTML/CSS;JavaScript;PowerShell;Python;R;SQL,Yes,DuckDB;Elasticsearch;MongoDB;PostgreSQL;SQLite,69609.0,69609.0
35-44 years old,Some college/university study without earning a degree,Employed,12.0,18.0,Database administrator or engineer,500 to 999 employees,Individual contributor,Remote,Healthcare,United States of America,145000.0,C#;PowerShell;SQL,Yes,Microsoft SQL Server,145000.0,145000.0
35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Independent contractor, freelancer, or self-employed",10.0,8.0,Data engineer,100 to 499 employees,Individual contributor,Remote,Insurance,Turkey,150000.0,Python;SQL,Yes,Microsoft SQL Server;MongoDB;MySQL;Oracle,3787.0,3787.0
35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,19.0,25.0,Data engineer,20 to 99 employees,Individual contributor,"Hybrid (some in-person, leans heavy to flexibility)",Other:,Poland,500000.0,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Lua;Python;SQL,Yes,BigQuery;DuckDB;Clickhouse,136450.0,136450.0
35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,7.0,7.0,Data or business analyst,Less than 20 employees,Individual contributor,"Hybrid (some in-person, leans heavy to flexibility)",Healthcare,United States of America,80000.0,Bash/Shell (all shells);Go;HTML/CSS;JavaScript;PHP;PowerShell;Python;R;SQL,Yes,Cloud Firestore;Microsoft SQL Server;PostgreSQL,80000.0,80000.0
25-34 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Employed,10.0,17.0,Data engineer,100 to 499 employees,Individual contributor,"Your choice (very flexible, you can come in when you want or just as needed)",Manufacturing,Norway,1000000.0,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;SQL,Yes,BigQuery;DuckDB;MySQL;SQLite,98827.0,98827.0
25-34 years old,nan,Employed,11.0,4.0,Data or business analyst,"1,000 to 4,999 employees",nan,"Hybrid (some remote, leans heavy to in-person)",Manufacturing,United States of America,140000.0,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;Kotlin;MicroPython;PowerShell;Python;SQL;TypeScript;VBA,Yes,Microsoft SQL Server;Oracle;Redis;SQLite,140000.0,140000.0
25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,8.0,8.0,Data engineer,20 to 99 employees,Individual contributor,Remote,Higher Education,United States of America,125000.0,Bash/Shell (all shells);HTML/CSS;JavaScript;PowerShell;Python;SQL,Yes,Microsoft SQL Server;MySQL;Amazon Redshift,125000.0,125000.0
25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,6.0,10.0,Data scientist,"10,000 or more employees",Individual contributor,Remote,Healthcare,United States of America,123000.0,Java;Python;SQL,Yes,BigQuery;Databricks SQL;PostgreSQL,123000.0,123000.0
25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,12.0,20.0,Data or business analyst,100 to 499 employees,Individual contributor,In-person,Retail and Consumer Services,Mexico,600000.0,JavaScript;PowerShell;Python;SQL,Yes,Databricks SQL;Microsoft SQL Server;MySQL,31583.0,31583.0
25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,8.0,8.0,Data engineer,20 to 99 employees,Individual contributor,Remote,Software Development,India,3000000.0,Bash/Shell (all shells);Python;SQL,Yes,Elasticsearch;PostgreSQL;SQLite;Amazon Redshift,34872.0,34872.0
45-54 years old,Some college/university study without earning a degree,Employed,27.0,33.0,Data scientist,100 to 499 employees,People manager,Remote,Software Development,United States of America,190000.0,Bash/Shell (all shells);C#;Java;JavaScript;Kotlin;PowerShell;Python;Scala;SQL;TypeScript,Yes,Dynamodb;Elasticsearch;MariaDB;Microsoft SQL Server;MongoDB;MySQL;Neo4J;PostgreSQL;Redis;Snowflake;SQLite;Amazon Redshift,190000.0,190000.0
45-54 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Employed,20.0,20.0,Data engineer,"5,000 to 9,999 employees",Individual contributor,Remote,Software Development,Spain,125000.0,Bash/Shell (all shells);Groovy;Java;Kotlin;MATLAB;Python;R;Scala,Yes,MongoDB;Amazon Redshift,145018.0,145018.0
35-44 years old,Some college/university study without earning a degree,Employed,23.0,26.0,Data engineer,"1,000 to 4,999 employees",Individual contributor,"Hybrid (some in-person, leans heavy to flexibility)",Government,Brazil,135000.0,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;SQL,Yes,Elasticsearch;MariaDB;Microsoft SQL Server;MySQL;Oracle;PostgreSQL;Redis;SQLite,24575.0,24575.0
45-54 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Independent contractor, freelancer, or self-employed",30.0,30.0,Data scientist,100 to 499 employees,Individual contributor,Remote,Healthcare,Nicaragua,70000.0,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;MATLAB;Python;R;Ruby;SQL,Yes,BigQuery;Cloud Firestore;Databricks SQL;DuckDB;Dynamodb;Elasticsearch;Firebase Realtime Database;Microsoft SQL Server;MongoDB;Neo4J;PostgreSQL;Snowflake;SQLite;Amazon Redshift,70000.0,70000.0
18-24 years old,Some college/university study without earning a degree,Student,3.0,14.0,Data scientist,"1,000 to 4,999 employees",Individual contributor,Remote,Software Development,Germany,10000.0,Bash/Shell (all shells);Python;SQL,Yes,Cassandra;Neo4J;PostgreSQL;Clickhouse,11601.0,11601.0
35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,6.0,15.0,Data engineer,"1,000 to 4,999 employees",Individual contributor,"Hybrid (some in-person, leans heavy to flexibility)",Energy,Netherlands,58000.0,Bash/Shell (all shells);Kotlin;Python;SQL,Yes,DuckDB;IBM DB2;Microsoft SQL Server;MySQL;PostgreSQL,67289.0,67289.0
35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Independent contractor, freelancer, or self-employed",12.0,18.0,Data scientist,nan,nan,nan,Software Development,France,100000.0,Bash/Shell (all shells);C;C++;GDScript;Python;SQL,Yes,Dynamodb;MongoDB;PostgreSQL,116015.0,116015.0
35-44 years old,Some college/university study without earning a degree,Employed,10.0,20.0,Database administrator or engineer,100 to 499 employees,Individual contributor,"Hybrid (some in-person, leans heavy to flexibility)",Other:,Germany,45000.0,Bash/Shell (all shells);HTML/CSS;JavaScript;Lua;PHP;Python;Rust;SQL,Yes,MariaDB;MySQL;PostgreSQL,52207.0,52207.0
35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,15.0,19.0,Data scientist,"1,000 to 4,999 employees",Individual contributor,Remote,Software Development,Germany,130000.0,Python;R;SQL,Yes,Databricks SQL,150819.0,150819.0
25-34 years old,Some college/university study without earning a degree,Employed,5.0,11.0,Database administrator or engineer,"1,000 to 4,999 employees",Individual contributor,"Hybrid (some in-person, leans heavy to flexibility)",Government,Netherlands,57000.0,Python;SQL,Yes,IBM DB2;PostgreSQL,66128.0,66128.0
35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,12.0,15.0,Data scientist,100 to 499 employees,People manager,"Hybrid (some in-person, leans heavy to flexibility)",Insurance,Canada,250000.0,R;SQL;VBA,Yes,Microsoft SQL Server,182396.0,182396.0
45-54 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,17.0,30.0,Data or business analyst,100 to 499 employees,Individual contributor,"Hybrid (some in-person, leans heavy to flexibility)",Government,France,36000.0,Assembly;C;Fortran;Java;OCaml;Python;R;Scala;SQL,Yes,DuckDB;PostgreSQL,41765.0,41765.0
45-54 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Employed,18.0,16.0,Data scientist,"10,000 or more employees",Individual contributor,Remote,Healthcare,United States of America,176131.0,Bash/Shell (all shells);Go;Python;R;Rust;Scala;SQL,Yes,BigQuery;Microsoft SQL Server,176131.0,176131.0
55-64 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Independent contractor, freelancer, or self-employed",42.0,41.0,Database administrator or engineer,20 to 99 employees,Individual contributor,"Your choice (very flexible, you can come in when you want or just as needed)",Other:,United Kingdom of Great Britain and Northern Ireland,100000.0,Assembly;COBOL;MicroPython;Perl;PHP;Python;SQL,Yes,IBM DB2,136141.0,136141.0
35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,18.0,18.0,Data or business analyst,"1,000 to 4,999 employees",Individual contributor,Remote,Other:,United States of America,100000.0,HTML/CSS;JavaScript;PHP;SQL,Yes,Microsoft Access;Microsoft SQL Server,100000.0,100000.0
35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,7.0,10.0,Data engineer,"10,000 or more employees",Individual contributor,"Hybrid (some remote, leans heavy to in-person)",Software Development,Ireland,100000.0,Bash/Shell (all shells);Python;R;SQL,Yes,Amazon Redshift,116015.0,116015.0
25-34 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Employed,2.0,12.0,Data scientist,"10,000 or more employees",Individual contributor,"Hybrid (some in-person, leans heavy to flexibility)",Software Development,United States of America,136000.0,Bash/Shell (all shells);HTML/CSS;Lua;Python;Rust;SQL;TypeScript;Gleam,Yes,SQLite,136000.0,136000.0
25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,5.0,8.0,Data engineer,"10,000 or more employees",Individual contributor,"Hybrid (some remote, leans heavy to in-person)",Manufacturing,New Zealand,105000.0,Bash/Shell (all shells);C++;HTML/CSS;JavaScript;PowerShell;Python;Rust;SQL;TypeScript,Yes,MySQL;PostgreSQL;Snowflake;SQLite,63247.0,63247.0
35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,15.0,13.0,Data or business analyst,100 to 499 employees,Individual contributor,Remote,Media & Advertising Services,United States of America,103000.0,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;SQL;TypeScript,Yes,Elasticsearch;PostgreSQL;SQLite,103000.0,103000.0
35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,10.0,25.0,Data scientist,20 to 99 employees,People manager,"Hybrid (some in-person, leans heavy to flexibility)",Media & Advertising Services,United Kingdom of Great Britain and Northern Ireland,60900.0,Bash/Shell (all shells);Go;HTML/CSS;Java;JavaScript;MATLAB;PowerShell;Python;R;Rust;SQL;TypeScript;VBA,Yes,BigQuery;DuckDB;PostgreSQL;Redis,82910.0,82910.0
25-34 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Employed,3.0,5.0,Data scientist,100 to 499 employees,Individual contributor,"Your choice (very flexible, you can come in when you want or just as needed)",Government,Canada,100000.0,Python;R,Yes,Microsoft SQL Server;Oracle;Snowflake,72958.0,72958.0
35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,27.0,20.0,Database administrator or engineer,"10,000 or more employees",Individual contributor,Remote,"Transportation, or Supply Chain",Brazil,150000.0,Bash/Shell (all shells);SQL,Yes,IBM DB2;Microsoft SQL Server,27306.0,27306.0
